Color Option,Item Code,Description,Price with ParticleBoard Box,Price with Plywood Box,Concatenated,UV Birch Plywood,White Plywood
ARTISANS SHINE,W2121-L/R,Wall Cabinet 21H - Single Door,$156.10 ,$166.77 ,ARTISANS SHINE - W2121-L/R,$156.10 ,$166.77 
ARTISANS SHINE,W2421-L/R,Wall Cabinet 21H - Single Door,$167.30 ,$178.91 ,ARTISANS SHINE - W2421-L/R,$167.30 ,$178.91 
ARTISANS SHINE,W2421,Wall Cabinet 21H - Double Door,$193.06 ,$204.67 ,ARTISANS SHINE - W2421,$193.06 ,$204.67 
ARTISANS SHINE,W2721,Wall Cabinet 21H - Double Door,$204.26 ,$216.81 ,ARTISANS SHINE - W2721,$204.26 ,$216.81 
ARTISANS SHINE,W3021,Wall Cabinet 21H - Double Door,$215.46 ,$228.95 ,ARTISANS SHINE - W3021,$215.46 ,$228.95 
ARTISANS SHINE,W3321,Wall Cabinet 21H - Double Door,$226.66 ,$241.09 ,ARTISANS SHINE - W3321,$226.66 ,$241.09 
ARTISANS SHINE,W3621,Wall Cabinet 21H - Double Door,$237.86 ,$253.23 ,ARTISANS SHINE - W3621,$237.86 ,$253.23 
ARTISANS SHINE,W3921,Wall Cabinet 21H - Double Door,$249.06 ,$265.37 ,ARTISANS SHINE - W3921,$249.06 ,$265.37 
ARTISANS SHINE,W4221,Wall Cabinet 21H - Double Door,$352.43 ,$373.90 ,ARTISANS SHINE - W4221,$352.43 ,$373.90 
ARTISANS SHINE,W1224-L/R,Wall Cabinet 24H - Single Door,$129.64 ,$138.09 ,ARTISANS SHINE - W1224-L/R,$129.64 ,$138.09 
ARTISANS SHINE,W1524-L/R,Wall Cabinet 24H - Single Door,$141.34 ,$150.73 ,ARTISANS SHINE - W1524-L/R,$141.34 ,$150.73 
ARTISANS SHINE,W1824-L/R,Wall Cabinet 24H - Single Door,$153.04 ,$163.37 ,ARTISANS SHINE - W1824-L/R,$153.04 ,$163.37 
ARTISANS SHINE,W2124-L/R,Wall Cabinet 24H - Single Door,$164.74 ,$176.02 ,ARTISANS SHINE - W2124-L/R,$164.74 ,$176.02 
ARTISANS SHINE,W2424-L/R,Wall Cabinet 24H - Single Door,$176.44 ,$188.66 ,ARTISANS SHINE - W2424-L/R,$176.44 ,$188.66 
ARTISANS SHINE,W2424,Wall Cabinet 24H - Double Door,$203.22 ,$215.43 ,ARTISANS SHINE - W2424,$203.22 ,$215.43 
ARTISANS SHINE,W2724,Wall Cabinet 24H - Double Door,$214.92 ,$228.07 ,ARTISANS SHINE - W2724,$214.92 ,$228.07 
ARTISANS SHINE,W3024,Wall Cabinet 24H - Double Door,$226.62 ,$240.72 ,ARTISANS SHINE - W3024,$226.62 ,$240.72 
ARTISANS SHINE,W3324,Wall Cabinet 24H - Double Door,$238.32 ,$253.36 ,ARTISANS SHINE - W3324,$238.32 ,$253.36 
ARTISANS SHINE,W3624,Wall Cabinet 24H - Double Door,$250.02 ,$266.00 ,ARTISANS SHINE - W3624,$250.02 ,$266.00 
ARTISANS SHINE,W3924,Wall Cabinet 24H - Double Door,$261.73 ,$278.64 ,ARTISANS SHINE - W3924,$261.73 ,$278.64 
ARTISANS SHINE,W4224,Wall Cabinet 24H - Double Door,$273.43 ,$291.28 ,ARTISANS SHINE - W4224,$273.43 ,$291.28 
ARTISANS SHINE,W1230-L/R,Wall Cabinet 30H - Single Door,$152.47 ,$163.06 ,ARTISANS SHINE - W1230-L/R,$152.47 ,$163.06 
ARTISANS SHINE,W1530-L/R,Wall Cabinet 30H - Single Door,$166.72 ,$178.53 ,ARTISANS SHINE - W1530-L/R,$166.72 ,$178.53 
ARTISANS SHINE,W1830-L/R,Wall Cabinet 30H - Single Door,$180.98 ,$193.99 ,ARTISANS SHINE - W1830-L/R,$180.98 ,$193.99 
ARTISANS SHINE,W2130-L/R,Wall Cabinet 30H - Single Door,$195.24 ,$209.45 ,ARTISANS SHINE - W2130-L/R,$195.24 ,$209.45 
ARTISANS SHINE,W2430-L/R,Wall Cabinet 30H - Single Door,$209.49 ,$224.92 ,ARTISANS SHINE - W2430-L/R,$209.49 ,$224.92 
ARTISANS SHINE,W2430,Wall Cabinet 30H - Double Door,$238.30 ,$253.72 ,ARTISANS SHINE - W2430,$238.30 ,$253.72 
ARTISANS SHINE,W2730,Wall Cabinet 30H - Double Door,$252.55 ,$269.18 ,ARTISANS SHINE - W2730,$252.55 ,$269.18 
ARTISANS SHINE,W3030,Wall Cabinet 30H - Double Door,$266.81 ,$284.65 ,ARTISANS SHINE - W3030,$266.81 ,$284.65 
ARTISANS SHINE,W3330,Wall Cabinet 30H - Double Door,$281.07 ,$300.11 ,ARTISANS SHINE - W3330,$281.07 ,$300.11 
ARTISANS SHINE,W3630,Wall Cabinet 30H - Double Door,$295.32 ,$315.57 ,ARTISANS SHINE - W3630,$295.32 ,$315.57 
ARTISANS SHINE,W3930,Wall Cabinet 30H - Double Door,$309.58 ,$331.04 ,ARTISANS SHINE - W3930,$309.58 ,$331.04 
ARTISANS SHINE,W4230,Wall Cabinet 30H - Double Door,$323.84 ,$346.50 ,ARTISANS SHINE - W4230,$323.84 ,$346.50 
ARTISANS SHINE,W1236-L/R,Wall Cabinet 36H - Single Door,$175.30 ,$188.03 ,ARTISANS SHINE - W1236-L/R,$175.30 ,$188.03 
ARTISANS SHINE,W1536-L/R,Wall Cabinet 36H - Single Door,$192.11 ,$206.32 ,ARTISANS SHINE - W1536-L/R,$192.11 ,$206.32 
ARTISANS SHINE,W1836-L/R,Wall Cabinet 36H - Single Door,$208.92 ,$224.60 ,ARTISANS SHINE - W1836-L/R,$208.92 ,$224.60 
ARTISANS SHINE,W2136-L/R,Wall Cabinet 36H - Single Door,$225.73 ,$242.89 ,ARTISANS SHINE - W2136-L/R,$225.73 ,$242.89 
ARTISANS SHINE,W2436-L/R,Wall Cabinet 36H - Single Door,$242.55 ,$261.18 ,ARTISANS SHINE - W2436-L/R,$242.55 ,$261.18 
ARTISANS SHINE,W2436,Wall Cabinet 36H - Double Door,$273.37 ,$292.01 ,ARTISANS SHINE - W2436,$273.37 ,$292.01 
ARTISANS SHINE,W2736,Wall Cabinet 36H - Double Door,$290.19 ,$310.29 ,ARTISANS SHINE - W2736,$290.19 ,$310.29 
ARTISANS SHINE,W3036,Wall Cabinet 36H - Double Door,$307.00 ,$328.58 ,ARTISANS SHINE - W3036,$307.00 ,$328.58 
ARTISANS SHINE,W3336,Wall Cabinet 36H - Double Door,$323.81 ,$346.86 ,ARTISANS SHINE - W3336,$323.81 ,$346.86 
ARTISANS SHINE,W3636,Wall Cabinet 36H - Double Door,$340.62 ,$365.15 ,ARTISANS SHINE - W3636,$340.62 ,$365.15 
ARTISANS SHINE,W3936,Wall Cabinet 36H - Double Door,$357.44 ,$383.44 ,ARTISANS SHINE - W3936,$357.44 ,$383.44 
ARTISANS SHINE,W4236,Wall Cabinet 36H - Double Door,$374.25 ,$401.72 ,ARTISANS SHINE - W4236,$374.25 ,$401.72 
ARTISANS SHINE,W1242-L/R,Wall Cabinet 42H - Single Door,$189.56 ,$203.50 ,ARTISANS SHINE - W1242-L/R,$189.56 ,$203.50 
ARTISANS SHINE,W1542-L/R,Wall Cabinet 42H - Single Door,$207.38 ,$222.79 ,ARTISANS SHINE - W1542-L/R,$207.38 ,$222.79 
ARTISANS SHINE,W1842-L/R,Wall Cabinet 42H - Single Door,$225.19 ,$242.08 ,ARTISANS SHINE - W1842-L/R,$225.19 ,$242.08 
ARTISANS SHINE,W2142-L/R,Wall Cabinet 42H - Single Door,$243.01 ,$261.38 ,ARTISANS SHINE - W2142-L/R,$243.01 ,$261.38 
ARTISANS SHINE,W2442-L/R,Wall Cabinet 42H - Single Door,$260.83 ,$280.67 ,ARTISANS SHINE - W2442-L/R,$260.83 ,$280.67 
ARTISANS SHINE,W2442,Wall Cabinet 42H - Double Door,$293.68 ,$313.52 ,ARTISANS SHINE - W2442,$293.68 ,$313.52 
ARTISANS SHINE,W2742,Wall Cabinet 42H - Double Door,$311.50 ,$332.81 ,ARTISANS SHINE - W2742,$311.50 ,$332.81 
ARTISANS SHINE,W3042,Wall Cabinet 42H - Double Door,$329.32 ,$352.10 ,ARTISANS SHINE - W3042,$329.32 ,$352.10 
ARTISANS SHINE,W3342,Wall Cabinet 42H - Double Door,$347.13 ,$371.39 ,ARTISANS SHINE - W3342,$347.13 ,$371.39 
ARTISANS SHINE,W3642,Wall Cabinet 42H - Double Door,$364.95 ,$390.68 ,ARTISANS SHINE - W3642,$364.95 ,$390.68 
ARTISANS SHINE,W3942,Wall Cabinet 42H - Double Door,$382.77 ,$409.97 ,ARTISANS SHINE - W3942,$382.77 ,$409.97 
ARTISANS SHINE,W4242,Wall Cabinet 42H - Double Door,$400.58 ,$429.26 ,ARTISANS SHINE - W4242,$400.58 ,$429.26 
ARTISANS SHINE,W243010,"Vanity Head Knocker 10""D",$169.79 ,$178.70 ,ARTISANS SHINE - W243010,$169.79 ,$178.70 
ARTISANS SHINE,W273010,"Vanity Head Knocker 10""D",$180.56 ,$190.01 ,ARTISANS SHINE - W273010,$180.56 ,$190.01 
ARTISANS SHINE,W303010,"Vanity Head Knocker 10""D",$191.33 ,$201.31 ,ARTISANS SHINE - W303010,$191.33 ,$201.31 
ARTISANS SHINE,W243610,"Vanity Head Knocker 10""D",$187.31 ,$197.15 ,ARTISANS SHINE - W243610,$187.31 ,$197.15 
ARTISANS SHINE,W273610,"Vanity Head Knocker 10""D",$199.08 ,$209.46 ,ARTISANS SHINE - W273610,$199.08 ,$209.46 
ARTISANS SHINE,W303610,"Vanity Head Knocker 10""D",$210.86 ,$221.76 ,ARTISANS SHINE - W303610,$210.86 ,$221.76 
ARTISANS SHINE,W241513,Wall Cabinet - Flip Up Single Door,$254.25 ,$262.65 ,ARTISANS SHINE - W241513,$254.25 ,$262.65 
ARTISANS SHINE,W271513,Wall Cabinet - Flip Up Single Door,$262.90 ,$271.97 ,ARTISANS SHINE - W271513,$262.90 ,$271.97 
ARTISANS SHINE,W301513,Wall Cabinet - Flip Up Single Door,$271.54 ,$281.29 ,ARTISANS SHINE - W301513,$271.54 ,$281.29 
ARTISANS SHINE,W331513,Wall Cabinet - Flip Up Single Door,$280.18 ,$290.60 ,ARTISANS SHINE - W331513,$280.18 ,$290.60 
ARTISANS SHINE,W361513,Wall Cabinet - Flip Up Single Door,$288.83 ,$299.92 ,ARTISANS SHINE - W361513,$288.83 ,$299.92 
ARTISANS SHINE,W241813,Wall Cabinet - Flip Up Single Door,$263.39 ,$272.40 ,ARTISANS SHINE - W241813,$263.39 ,$272.40 
ARTISANS SHINE,W271813,Wall Cabinet - Flip Up Single Door,$272.54 ,$282.22 ,ARTISANS SHINE - W271813,$272.54 ,$282.22 
ARTISANS SHINE,W301813,Wall Cabinet - Flip Up Single Door,$281.69 ,$292.04 ,ARTISANS SHINE - W301813,$281.69 ,$292.04 
ARTISANS SHINE,W331813,Wall Cabinet - Flip Up Single Door,$290.83 ,$301.85 ,ARTISANS SHINE - W331813,$290.83 ,$301.85 
ARTISANS SHINE,W361813,Wall Cabinet - Flip Up Single Door,$299.98 ,$311.67 ,ARTISANS SHINE - W361813,$299.98 ,$311.67 
ARTISANS SHINE,W301513,"Wall Fridge Unit 13""D",$175.27 ,$185.02 ,ARTISANS SHINE - W301513,$175.27 ,$185.02 
ARTISANS SHINE,W331513,"Wall Fridge Unit 13""D",$183.92 ,$194.34 ,ARTISANS SHINE - W331513,$183.92 ,$194.34 
ARTISANS SHINE,W361513,"Wall Fridge Unit 13""D",$192.56 ,$203.66 ,ARTISANS SHINE - W361513,$192.56 ,$203.66 
ARTISANS SHINE,W301813,"Wall Fridge Unit 13""D",$186.43 ,$196.78 ,ARTISANS SHINE - W301813,$186.43 ,$196.78 
ARTISANS SHINE,W331813,"Wall Fridge Unit 13""D",$195.58 ,$206.60 ,ARTISANS SHINE - W331813,$195.58 ,$206.60 
ARTISANS SHINE,W361813,"Wall Fridge Unit 13""D",$204.72 ,$216.42 ,ARTISANS SHINE - W361813,$204.72 ,$216.42 
ARTISANS SHINE,W301313,"Wall Fridge Unit 13""D",$226.62 ,$240.72 ,ARTISANS SHINE - W301313,$226.62 ,$240.72 
ARTISANS SHINE,W331313,"Wall Fridge Unit 13""D",$238.32 ,$253.36 ,ARTISANS SHINE - W331313,$238.32 ,$253.36 
ARTISANS SHINE,W361313,"Wall Fridge Unit 13""D",$250.02 ,$266.00 ,ARTISANS SHINE - W361313,$250.02 ,$266.00 
ARTISANS SHINE,W302713,"Wall Fridge Unit 13""D",$237.78 ,$252.48 ,ARTISANS SHINE - W302713,$237.78 ,$252.48 
ARTISANS SHINE,W332713,"Wall Fridge Unit 13""D",$249.98 ,$265.62 ,ARTISANS SHINE - W332713,$249.98 ,$265.62 
ARTISANS SHINE,W362713,"Wall Fridge Unit 13""D",$262.19 ,$278.76 ,ARTISANS SHINE - W362713,$262.19 ,$278.76 
ARTISANS SHINE,W303013,"Wall Fridge Unit 13""D",$248.94 ,$264.24 ,ARTISANS SHINE - W303013,$248.94 ,$264.24 
ARTISANS SHINE,W333013,"Wall Fridge Unit 13""D",$261.65 ,$277.89 ,ARTISANS SHINE - W333013,$261.65 ,$277.89 
ARTISANS SHINE,W363013,"Wall Fridge Unit 13""D",$274.35 ,$291.53 ,ARTISANS SHINE - W363013,$274.35 ,$291.53 
ARTISANS SHINE,W301524,"Wall Fridge Unit 24""D",$208.34 ,$225.74 ,ARTISANS SHINE - W301524,$208.34 ,$225.74 
ARTISANS SHINE,W331524,"Wall Fridge Unit 24""D",$218.39 ,$236.98 ,ARTISANS SHINE - W331524,$218.39 ,$236.98 
ARTISANS SHINE,W361524,"Wall Fridge Unit 24""D",$228.44 ,$248.21 ,ARTISANS SHINE - W361524,$228.44 ,$248.21 
ARTISANS SHINE,W301824,"Wall Fridge Unit 24""D",$220.90 ,$239.42 ,ARTISANS SHINE - W301824,$220.90 ,$239.42 
ARTISANS SHINE,W331824,"Wall Fridge Unit 24""D",$231.45 ,$251.16 ,ARTISANS SHINE - W331824,$231.45 ,$251.16 
ARTISANS SHINE,W361824,"Wall Fridge Unit 24""D",$242.00 ,$262.89 ,ARTISANS SHINE - W361824,$242.00 ,$262.89 
ARTISANS SHINE,W302424,"Wall Fridge Unit 24""D",$273.57 ,$299.28 ,ARTISANS SHINE - W302424,$273.57 ,$299.28 
ARTISANS SHINE,W332424,"Wall Fridge Unit 24""D",$287.38 ,$314.80 ,ARTISANS SHINE - W332424,$287.38 ,$314.80 
ARTISANS SHINE,W362424,"Wall Fridge Unit 24""D",$301.19 ,$330.31 ,ARTISANS SHINE - W362424,$301.19 ,$330.31 
ARTISANS SHINE,W302724,"Wall Fridge Unit 24""D",$286.14 ,$312.96 ,ARTISANS SHINE - W302724,$286.14 ,$312.96 
ARTISANS SHINE,W332724,"Wall Fridge Unit 24""D",$300.45 ,$328.98 ,ARTISANS SHINE - W332724,$300.45 ,$328.98 
ARTISANS SHINE,W362724,"Wall Fridge Unit 24""D",$314.76 ,$345.00 ,ARTISANS SHINE - W362724,$314.76 ,$345.00 
ARTISANS SHINE,W303024,"Wall Fridge Unit 24""D",$298.70 ,$326.64 ,ARTISANS SHINE - W303024,$298.70 ,$326.64 
ARTISANS SHINE,W333024,"Wall Fridge Unit 24""D",$313.52 ,$343.16 ,ARTISANS SHINE - W333024,$313.52 ,$343.16 
ARTISANS SHINE,W363024,"Wall Fridge Unit 24""D",$328.33 ,$359.68 ,ARTISANS SHINE - W363024,$328.33 ,$359.68 
ARTISANS SHINE,LC1284 L/R,"Vanity Linen 21""D x 84""H - Single Side",$412.13 ,$451.60 ,ARTISANS SHINE - LC1284 L/R,$412.13 ,$451.60 
ARTISANS SHINE,LC1584 L/R,"Vanity Linen 21""D x 84""H - Single Side",$443.90 ,$486.71 ,ARTISANS SHINE - LC1584 L/R,$443.90 ,$486.71 
ARTISANS SHINE,LC1884 L/R,"Vanity Linen 21""D x 84""H - Single Side",$475.67 ,$521.82 ,ARTISANS SHINE - LC1884 L/R,$475.67 ,$521.82 
ARTISANS SHINE,LC2184 L/R,"Vanity Linen 21""D x 84""H - Single Side",$507.44 ,$556.93 ,ARTISANS SHINE - LC2184 L/R,$507.44 ,$556.93 
ARTISANS SHINE,LC2484,"Vanity Linen 21""D x 84""H - Double Side",$576.54 ,$629.38 ,ARTISANS SHINE - LC2484,$576.54 ,$629.38 
ARTISANS SHINE,LC2784,"Vanity Linen 21""D x 84""H - Double Side",$608.31 ,$664.49 ,ARTISANS SHINE - LC2784,$608.31 ,$664.49 
ARTISANS SHINE,LC3084,"Vanity Linen 21""D x 84""H - Double Side",$640.08 ,$699.60 ,ARTISANS SHINE - LC3084,$640.08 ,$699.60 
ARTISANS SHINE,LC3384,"Vanity Linen 21""D x 84""H - Double Side",$671.85 ,$734.71 ,ARTISANS SHINE - LC3384,$671.85 ,$734.71 
ARTISANS SHINE,LC3684,"Vanity Linen 21""D x 84""H - Double Side",$703.62 ,$769.82 ,ARTISANS SHINE - LC3684,$703.62 ,$769.82 
ARTISANS SHINE,LC3984,"Vanity Linen 21""D x 84""H - Double Side",$735.39 ,$804.93 ,ARTISANS SHINE - LC3984,$735.39 ,$804.93 
ARTISANS SHINE,PC1284 L/R,"Pantry Cabinet 84""H - Single Side",$435.07 ,$480.20 ,ARTISANS SHINE - PC1284 L/R,$435.07 ,$480.20 
ARTISANS SHINE,PC1584 L/R,"Pantry Cabinet 84""H - Single Side",$468.18 ,$517.14 ,ARTISANS SHINE - PC1584 L/R,$468.18 ,$517.14 
ARTISANS SHINE,PC1884 L/R,"Pantry Cabinet 84""H - Single Side",$501.29 ,$554.08 ,ARTISANS SHINE - PC1884 L/R,$501.29 ,$554.08 
ARTISANS SHINE,PC2184 L/R,"Pantry Cabinet 84""H - Single Side",$534.41 ,$591.02 ,ARTISANS SHINE - PC2184 L/R,$534.41 ,$591.02 
ARTISANS SHINE,PC2484,"Pantry Cabinet 84""H - Double Side",$604.85 ,$665.30 ,ARTISANS SHINE - PC2484,$604.85 ,$665.30 
ARTISANS SHINE,PC2784,"Pantry Cabinet 84""H - Double Side",$637.96 ,$702.24 ,ARTISANS SHINE - PC2784,$637.96 ,$702.24 
ARTISANS SHINE,PC3084,"Pantry Cabinet 84""H - Double Side",$671.07 ,$739.18 ,ARTISANS SHINE - PC3084,$671.07 ,$739.18 
ARTISANS SHINE,PC3384,"Pantry Cabinet 84""H - Double Side",$704.18 ,$776.12 ,ARTISANS SHINE - PC3384,$704.18 ,$776.12 
ARTISANS SHINE,PC3684,"Pantry Cabinet 84""H - Double Side",$737.29 ,$813.06 ,ARTISANS SHINE - PC3684,$737.29 ,$813.06 
ARTISANS SHINE,PC3984,"Pantry Cabinet 84""H - Double Side",$770.40 ,$850.00 ,ARTISANS SHINE - PC3984,$770.40 ,$850.00 
ARTISANS SHINE,PC1296 L/R,"Pantry Cabinet 95.5""H - Single Side",$471.69 ,$521.09 ,ARTISANS SHINE - PC1296 L/R,$471.69 ,$521.09 
ARTISANS SHINE,PC1596 L/R,"Pantry Cabinet 95.5""H - Single Side",$506.73 ,$559.95 ,ARTISANS SHINE - PC1596 L/R,$506.73 ,$559.95 
ARTISANS SHINE,PC1896 L/R,"Pantry Cabinet 95.5""H - Single Side",$541.76 ,$598.82 ,ARTISANS SHINE - PC1896 L/R,$541.76 ,$598.82 
ARTISANS SHINE,PC2196 L/R,"Pantry Cabinet 95.5""H - Single Side",$576.80 ,$637.68 ,ARTISANS SHINE - PC2196 L/R,$576.80 ,$637.68 
ARTISANS SHINE,PC2496,"Pantry Cabinet 95.5""H - Double Side",$649.16 ,$713.88 ,ARTISANS SHINE - PC2496,$649.16 ,$713.88 
ARTISANS SHINE,PC2796,"Pantry Cabinet 95.5""H - Double Side",$684.20 ,$752.75 ,ARTISANS SHINE - PC2796,$684.20 ,$752.75 
ARTISANS SHINE,PC3096,"Pantry Cabinet 95.5""H - Double Side",$719.23 ,$791.61 ,ARTISANS SHINE - PC3096,$719.23 ,$791.61 
ARTISANS SHINE,PC3396,"Pantry Cabinet 95.5""H - Double Side",$754.27 ,$830.47 ,ARTISANS SHINE - PC3396,$754.27 ,$830.47 
ARTISANS SHINE,PC3696,"Pantry Cabinet 95.5""H - Double Side",$789.30 ,$869.34 ,ARTISANS SHINE - PC3696,$789.30 ,$869.34 
ARTISANS SHINE,MOC3096,"Microwave Double Oven Tall Unit 95.5""",$692.07 ,$749.34 ,ARTISANS SHINE - MOC3096,$692.07 ,$749.34 
ARTISANS SHINE,MOC3396,"Microwave Double Oven Tall Unit 95.5""",$723.27 ,$782.55 ,ARTISANS SHINE - MOC3396,$723.27 ,$782.55 
ARTISANS SHINE,MOC3696,"Microwave Double Oven Tall Unit 95.5""",$754.46 ,$815.76 ,ARTISANS SHINE - MOC3696,$754.46 ,$815.76 
ARTISANS SHINE,PNL4896,Tall Side Panel 48 x 96,$225.14 ,$225.14 ,ARTISANS SHINE - PNL4896,$225.14 ,$225.14 
ARTISANS SHINE,PNL3696,Tall Side Panel 36 x 96,$174.30 ,$174.30 ,ARTISANS SHINE - PNL3696,$174.30 ,$174.30 
ARTISANS SHINE,PNL3096,Tall Side Panel 30 x 96,$148.87 ,$148.87 ,ARTISANS SHINE - PNL3096,$148.87 ,$148.87 
ARTISANS SHINE,PNL24.7596,Tall Side Panel 24.75 x 96,$126.63 ,$126.63 ,ARTISANS SHINE - PNL24.7596,$126.63 ,$126.63 
ARTISANS SHINE,WP1315,Wall Side Panel 13.75 x 15,$15.13 ,$15.13 ,ARTISANS SHINE - WP1315,$15.13 ,$15.13 
ARTISANS SHINE,WP1318,Wall Side Panel 13.75 x 18,$17.53 ,$17.53 ,ARTISANS SHINE - WP1318,$17.53 ,$17.53 
ARTISANS SHINE,WP1321,Wall Side Panel 13.75 x 21,$19.94 ,$19.94 ,ARTISANS SHINE - WP1321,$19.94 ,$19.94 
ARTISANS SHINE,WP1324,Wall Side Panel 13.75 x 24,$22.34 ,$22.34 ,ARTISANS SHINE - WP1324,$22.34 ,$22.34 
ARTISANS SHINE,WP1327,Wall Side Panel 13.75 x 27,$24.74 ,$24.74 ,ARTISANS SHINE - WP1327,$24.74 ,$24.74 
ARTISANS SHINE,WP1330,Wall Side Panel 13.75 x 30,$27.15 ,$27.15 ,ARTISANS SHINE - WP1330,$27.15 ,$27.15 
ARTISANS SHINE,WP1336,Wall Side Panel 13.75 x 36,$31.95 ,$31.95 ,ARTISANS SHINE - WP1336,$31.95 ,$31.95 
ARTISANS SHINE,WP1342,Wall Side Panel 13.75 x 42,$36.76 ,$36.76 ,ARTISANS SHINE - WP1342,$36.76 ,$36.76 
ARTISANS SHINE,BP2434,Base Side Panel 21.75 x 21,$28.77 ,$28.77 ,ARTISANS SHINE - BP2434,$28.77 ,$28.77 
ARTISANS SHINE,BP1234,Base Side Panel 12.75 x 34.5,$29.08 ,$29.08 ,ARTISANS SHINE - BP1234,$29.08 ,$29.08 
ARTISANS SHINE,BP2434,Base Side Panel 24.75 x 34.5,$49.10 ,$49.10 ,ARTISANS SHINE - BP2434,$49.10 ,$49.10 
ARTISANS SHINE,BP3634,Base Side Panel 36.75 x 34.5,$69.11 ,$69.11 ,ARTISANS SHINE - BP3634,$69.11 ,$69.11 
ARTISANS SHINE,BP4834,Base Side Panel 48.75 x 34.5,$89.13 ,$89.13 ,ARTISANS SHINE - BP4834,$89.13 ,$89.13 
ARTISANS SHINE,BP6234,Base Side Panel 62 x 34.5,$111.23 ,$111.23 ,ARTISANS SHINE - BP6234,$111.23 ,$111.23 
ARTISANS SHINE,BP7834,Base Side Panel 78 x 34.5,$137.92 ,$137.92 ,ARTISANS SHINE - BP7834,$137.92 ,$137.92 
ARTISANS SHINE,RP396,Refrigerator Side Panel 3x96,$157.91 ,$157.91 ,ARTISANS SHINE - RP396,$157.91 ,$157.91 
ARTISANS SHINE,RP3117,Refrigerator Side Panel 3x117,$191.12 ,$191.12 ,ARTISANS SHINE - RP3117,$191.12 ,$191.12 
ARTISANS SHINE,DWP3,Dish Washer Panel 3x30,$60.67 ,$60.67 ,ARTISANS SHINE - DWP3,$60.67 ,$60.67 
ARTISANS SHINE,F230,Filler 2x30,$12.09 ,$12.09 ,ARTISANS SHINE - F230,$12.09 ,$12.09 
ARTISANS SHINE,F236,Filler 2x36,$14.43 ,$14.43 ,ARTISANS SHINE - F236,$14.43 ,$14.43 
ARTISANS SHINE,F242,Filler 2x42,$16.77 ,$16.77 ,ARTISANS SHINE - F242,$16.77 ,$16.77 
ARTISANS SHINE,F296,Filler 2x96,$37.85 ,$37.85 ,ARTISANS SHINE - F296,$37.85 ,$37.85 
ARTISANS SHINE,F330,Filler 3x30,$13.48 ,$13.48 ,ARTISANS SHINE - F330,$13.48 ,$13.48 
ARTISANS SHINE,F336,Filler 3x36,$16.07 ,$16.07 ,ARTISANS SHINE - F336,$16.07 ,$16.07 
ARTISANS SHINE,F342,Filler 3x42,$18.66 ,$18.66 ,ARTISANS SHINE - F342,$18.66 ,$18.66 
ARTISANS SHINE,F396,Filler 3x96,$42.00 ,$42.00 ,ARTISANS SHINE - F396,$42.00 ,$42.00 
ARTISANS SHINE,CF96,"Ceiling Filler 96"" x 3 """,$27.39 ,$27.39 ,ARTISANS SHINE - CF96,$27.39 ,$27.39 
ARTISANS SHINE,TK96,"Toe Kick 96""",$29.23 ,$29.23 ,ARTISANS SHINE - TK96,$29.23 ,$29.23 
CLASSICS LIMITED,B9FD-L/R,Base Cabinet Full Door - 1 Door,$164.14 ,$180.35 ,CLASSICS LIMITED - B9FD-L/R,$164.14 ,$180.35 
CLASSICS LIMITED,B12FD-L/R,Base Cabinet Full Door - 1 Door,$177.88 ,$195.31 ,CLASSICS LIMITED - B12FD-L/R,$177.88 ,$195.31 
CLASSICS LIMITED,B15FD-L/R,Base Cabinet Full Door - 1 Door,$191.62 ,$210.26 ,CLASSICS LIMITED - B15FD-L/R,$191.62 ,$210.26 
CLASSICS LIMITED,B18FD-L/R,Base Cabinet Full Door - 1 Door,$205.36 ,$225.22 ,CLASSICS LIMITED - B18FD-L/R,$205.36 ,$225.22 
CLASSICS LIMITED,B21FD-L/R,Base Cabinet Full Door - 1 Door,$219.10 ,$240.18 ,CLASSICS LIMITED - B21FD-L/R,$219.10 ,$240.18 
CLASSICS LIMITED,B24FD-L/R,Base Cabinet Full Door - 1 Door,$232.84 ,$255.13 ,CLASSICS LIMITED - B24FD-L/R,$232.84 ,$255.13 
CLASSICS LIMITED,B24FD,Base Cabinet Full Door - 2 Door,$261.47 ,$283.77 ,CLASSICS LIMITED - B24FD,$261.47 ,$283.77 
CLASSICS LIMITED,B27FD,Base Cabinet Full Door - 2 Door,$275.21 ,$298.72 ,CLASSICS LIMITED - B27FD,$275.21 ,$298.72 
CLASSICS LIMITED,B30FD,Base Cabinet Full Door - 2 Door,$288.95 ,$313.68 ,CLASSICS LIMITED - B30FD,$288.95 ,$313.68 
CLASSICS LIMITED,B33FD,Base Cabinet Full Door - 2 Door,$302.69 ,$328.64 ,CLASSICS LIMITED - B33FD,$302.69 ,$328.64 
CLASSICS LIMITED,B36FD,Base Cabinet Full Door - 2 Door,$316.42 ,$343.60 ,CLASSICS LIMITED - B36FD,$316.42 ,$343.60 
CLASSICS LIMITED,B39FD,Base Cabinet Full Door - 2 Door,$330.16 ,$358.55 ,CLASSICS LIMITED - B39FD,$330.16 ,$358.55 
CLASSICS LIMITED,B42FD,Base Cabinet Full Door - 2 Door,$343.90 ,$373.51 ,CLASSICS LIMITED - B42FD,$343.90 ,$373.51 
